frequency,power
8739,2.52708e-11
8748,2.52291e-11
8757,2.51875e-11
8766,2.5146e-11
8775,2.51046e-11
8784,2.50634e-11
8793,2.50223e-11
8802,2.49814e-11
8811,2.49406e-11
8820,2.48999e-11
8829,2.48593e-11
8838,2.48189e-11
8847,2.47786e-11
8856,2.47384e-11
8865,2.46984e-11
8874,2.46585e-11
8883,2.46187e-11
8892,2.4579e-11
8901,2.45395e-11
8910,2.45001e-11
8919,2.44608e-11
8928,2.44217e-11
8937,2.43827e-11
8946,2.43437e-11
8955,2.4305e-11
8964,2.42663e-11
8973,2.42278e-11
8982,2.41894e-11
8991,2.41511e-11
9000,2.41129e-11
9009,2.40748e-11
9018,2.40369e-11
9027,2.39991e-11
9036,2.39614e-11
9045,2.39238e-11
9054,2.38864e-11
9063,2.3849e-11
9072,2.38118e-11
9081,2.37747e-11
9090,2.37377e-11
9099,2.37008e-11
9108,2.36641e-11
9117,2.36274e-11
9126,2.35909e-11
9135,2.35545e-11
9144,2.35182e-11
9153,2.3482e-11
9162,2.34459e-11
9171,2.341e-11
9180,2.33741e-11
9189,2.33384e-11
9198,2.33027e-11
9207,2.32672e-11
9216,2.32318e-11
9225,2.31965e-11
9234,2.31613e-11
9243,2.31263e-11
9252,2.30913e-11
9261,2.30564e-11
9270,2.30217e-11
9279,2.2987e-11
9288,2.29525e-11
9297,2.2918e-11
9306,2.28837e-11
9315,2.28495e-11
9324,2.28154e-11
9333,2.27814e-11
9342,2.27474e-11
9351,2.27136e-11
9360,2.26799e-11
9369,2.26463e-11
9378,2.26128e-11
9387,2.25794e-11
9396,2.25462e-11
9405,2.2513e-11
9414,2.24799e-11
9423,2.24469e-11
9432,2.2414e-11
9441,2.23812e-11
9450,2.23485e-11
9459,2.23159e-11
9468,2.22834e-11
9477,2.22511e-11
9486,2.22188e-11
9495,2.21866e-11
9504,2.21545e-11
9513,2.21225e-11
9522,2.20906e-11
9531,2.20588e-11
9540,2.20271e-11
9549,2.19954e-11
9558,2.19639e-11
9567,2.19325e-11
9576,2.19012e-11
9585,2.18699e-11
9594,2.18388e-11
9603,2.18077e-11
9612,2.17768e-11
9621,2.17459e-11
9630,2.17152e-11
9639,2.16845e-11
9648,2.16539e-11
9657,2.16234e-11
9666,2.1593e-11
9675,2.15627e-11
9684,2.15325e-11
9693,2.15023e-11
9702,2.14723e-11
9711,2.14423e-11
9720,2.14125e-11
9729,2.13827e-11
9738,2.1353e-11
9747,2.13234e-11
9756,2.12939e-11
9765,2.12645e-11
9774,2.12352e-11
9783,2.12059e-11
9792,2.11768e-11
9801,2.11477e-11
9810,2.11187e-11
9819,2.10898e-11
9828,2.1061e-11
9837,2.10323e-11
9846,2.10036e-11
9855,2.09751e-11
9864,2.09466e-11
9873,2.09182e-11
9882,2.08899e-11
9891,2.08617e-11
9900,2.08335e-11
9909,2.08055e-11
9918,2.07775e-11
9927,2.07496e-11
9936,2.07218e-11
9945,2.0694e-11
9954,2.06664e-11
9963,2.06388e-11
9972,2.06113e-11
9981,2.05839e-11
9990,2.05566e-11
9999,2.05294e-11
10008,2.05022e-11
10017,2.04751e-11
10026,2.04481e-11
10035,2.04212e-11
10044,2.03943e-11
10053,2.03675e-11
10062,2.03408e-11
10071,2.03142e-11
10080,2.02877e-11
10089,2.02612e-11
10098,2.02348e-11
10107,2.02085e-11
10116,2.01823e-11
10125,2.01561e-11
10134,2.01301e-11
10143,2.01041e-11
10152,2.00781e-11
10161,2.00523e-11
10170,2.00265e-11
10179,2.00008e-11
10188,1.99752e-11
10197,1.99496e-11
10206,1.99241e-11
10215,1.98987e-11
10224,1.98734e-11
10233,1.98481e-11
10242,1.98229e-11
10251,1.97978e-11
10260,1.97728e-11
10269,1.97478e-11
10278,1.97229e-11
10287,1.9698e-11
10296,1.96733e-11
10305,1.96486e-11
10314,1.9624e-11
10323,1.95994e-11
10332,1.9575e-11
10341,1.95506e-11
10350,1.95262e-11
10359,1.95019e-11
10368,1.94778e-11
10377,1.94536e-11
10386,1.94296e-11
10395,1.94056e-11
10404,1.93817e-11
10413,1.93578e-11
10422,1.9334e-11
10431,1.93103e-11
10440,1.92866e-11
10449,1.92631e-11
10458,1.92395e-11
10467,1.92161e-11
10476,1.91927e-11
10485,1.91694e-11
10494,1.91462e-11
10503,1.9123e-11
10512,1.90999e-11
10521,1.90768e-11
10530,1.90538e-11
10539,1.90309e-11
10548,1.9008e-11
10557,1.89852e-11
10566,1.89625e-11
10575,1.89399e-11
10584,1.89173e-11
10593,1.88947e-11
10602,1.88722e-11
10611,1.88498e-11
10620,1.88275e-11
10629,1.88052e-11
10638,1.8783e-11
10647,1.87608e-11
10656,1.87387e-11
10665,1.87167e-11
10674,1.86948e-11
10683,1.86728e-11
10692,1.8651e-11
10701,1.86292e-11
