time,signal
0.0203889,-1.05471e-15
0.0204167,-5.82867e-16
0.0204444,-1.05471e-15
0.0204722,-6.10623e-16
0.0205,-1.05471e-15
0.0205278,-6.38378e-16
0.0205556,-1.05471e-15
0.0205833,-5.82867e-16
0.0206111,-1.05471e-15
0.0206389,-5.82867e-16
0.0206667,-1.05471e-15
0.0206944,-5.82867e-16
0.0207222,-1.05471e-15
0.02075,-6.10623e-16
0.0207778,-1.05471e-15
0.0208056,-6.10623e-16
0.0208333,-1.05471e-15
0.0208611,-6.38378e-16
0.0208889,-1.05471e-15
0.0209167,-6.38378e-16
0.0209444,-1.05471e-15
0.0209722,-6.38378e-16
0.021,-1.05471e-15
0.0210278,-6.38378e-16
0.0210556,-1.05471e-15
0.0210833,-6.38378e-16
0.0211111,-1.05471e-15
0.0211389,-6.10623e-16
0.0211667,-1.05471e-15
0.0211944,-6.10623e-16
0.0212222,-1.05471e-15
0.02125,-6.10623e-16
0.0212778,-1.05471e-15
0.0213056,-6.10623e-16
0.0213333,-1.05471e-15
0.0213611,-6.10623e-16
0.0213889,-1.05471e-15
0.0214167,-6.10623e-16
0.0214444,-1.05471e-15
0.0214722,-6.10623e-16
0.0215,-1.05471e-15
0.0215278,-6.10623e-16
0.0215556,-1.05471e-15
0.0215833,-6.10623e-16
0.0216111,-1.05471e-15
0.0216389,-6.10623e-16
0.0216667,-1.05471e-15
0.0216944,-6.10623e-16
0.0217222,-1.05471e-15
0.02175,-6.10623e-16
0.0217778,-1.05471e-15
0.0218056,-6.10623e-16
0.0218333,-1.05471e-15
0.0218611,-6.10623e-16
0.0218889,-1.05471e-15
0.0219167,-6.10623e-16
0.0219444,-1.05471e-15
0.0219722,-6.66134e-16
0.022,-1.11022e-15
0.0220278,-6.93889e-16
0.0220556,-1.22125e-15
0.0220833,-9.15934e-16
0.0221111,-1.66533e-15
0.0221389,-1.72085e-15
0.0221667,-3.16414e-15
0.0221944,-4.57967e-15
0.0222222,-8.38218e-15
0.02225,-1.41553e-14
0.0222778,-2.60347e-14
0.0223056,-4.64073e-14
0.0223333,-8.43214e-14
0.0223611,-1.51157e-13
0.0223889,-2.71672e-13
0.0224167,-4.83835e-13
0.0224444,-8.58869e-13
0.0224722,-1.51373e-12
0.0225,-2.65415e-12
0.0225278,-4.62363e-12
0.0225556,-8.00748e-12
0.0225833,-1.37809e-11
0.0226111,-2.35737e-11
0.0226389,-4.00755e-11
0.0226667,-6.77125e-11
0.0226944,-1.13703e-10
0.0227222,-1.89758e-10
0.02275,-3.14737e-10
0.0227778,-5.18822e-10
0.0228056,-8.49977e-10
0.0228333,-1.38394e-09
0.0228611,-2.23948e-09
0.0228889,-3.60163e-09
0.0229167,-5.75665e-09
0.0229444,-9.14452e-09
0.0229722,-1.44368e-08
0.023,-2.26519e-08
0.0230278,-3.53229e-08
0.0230556,-5.4743e-08
0.0230833,-8.43181e-08
0.0231111,-1.29072e-07
0.0231389,-1.96366e-07
0.0231667,-2.96907e-07
0.0231944,-4.46163e-07
0.0232222,-6.66326e-07
0.02325,-9.8901e-07
0.0232778,-1.45893e-06
0.0233056,-2.13889e-06
0.0233333,-3.11647e-06
0.0233611,-4.51292e-06
0.0233889,-6.4949e-06
0.0234167,-9.28983e-06
0.0234444,-1.32057e-05
0.0234722,-1.86568e-05
0.0235,-2.61959e-05
0.0235278,-3.65552e-05
0.0235556,-5.06973e-05
0.0235833,-6.9878e-05
0.0236111,-9.57231e-05
0.0236389,-0.000130321
0.0236667,-0.000176331
0.0236944,-0.000237119
0.0237222,-0.0003169
0.02375,-0.000420919
0.0237778,-0.000555643
0.0238056,-0.000728975
0.0238333,-0.000950495
0.0238611,-0.00123171
0.0238889,-0.0015863
0.0239167,-0.0020304
0.0239444,-0.00258285
0.0239722,-0.0032654
0.024,-0.00410294
0.0240278,-0.00512357
0.0240556,-0.00635873
0.0240833,-0.00784311
0.0241111,-0.0096145
0.0241389,-0.0117134
0.0241667,-0.0141828
0.0241944,-0.0170672
0.0242222,-0.0204117
0.02425,-0.0242615
0.0242778,-0.02866
0.0243056,-0.0336477
0.0243333,-0.0392604
0.0243611,-0.0455274
