Time,N_numeric,R_numeric,N_analytical,R_analytical
51.8,28.1501,0.563002,28.1792,0.563585
51.9,28.2064,0.564128,28.2356,0.564713
52,28.2628,0.565256,28.2922,0.565843
52.1,28.3193,0.566387,28.3488,0.566976
52.2,28.376,0.567519,28.4056,0.568111
52.3,28.4327,0.568654,28.4624,0.569249
52.4,28.4896,0.569792,28.5194,0.570388
52.5,28.5466,0.570931,28.5765,0.57153
52.6,28.6037,0.572073,28.6337,0.572674
52.7,28.6609,0.573217,28.691,0.573821
52.8,28.7182,0.574364,28.7485,0.57497
52.9,28.7756,0.575512,28.806,0.576121
53,28.8332,0.576663,28.8637,0.577274
53.1,28.8908,0.577817,28.9215,0.57843
53.2,28.9486,0.578972,28.9794,0.579588
53.3,29.0065,0.58013,29.0374,0.580748
53.4,29.0645,0.581291,29.0955,0.581911
53.5,29.1227,0.582453,29.1538,0.583076
53.6,29.1809,0.583618,29.2122,0.584243
53.7,29.2393,0.584785,29.2706,0.585413
53.8,29.2977,0.585955,29.3292,0.586585
53.9,29.3563,0.587127,29.388,0.587759
54,29.4151,0.588301,29.4468,0.588936
54.1,29.4739,0.589478,29.5057,0.590115
54.2,29.5328,0.590657,29.5648,0.591296
54.3,29.5919,0.591838,29.624,0.59248
54.4,29.6511,0.593022,29.6833,0.593666
54.5,29.7104,0.594208,29.7427,0.594855
54.6,29.7698,0.595396,29.8023,0.596046
54.7,29.8293,0.596587,29.8619,0.597239
54.8,29.889,0.59778,29.9217,0.598435
54.9,29.9488,0.598976,29.9816,0.599633
55,30.0087,0.600174,30.0417,0.600833
55.1,30.0687,0.601374,30.1018,0.602036
55.2,30.1288,0.602577,30.1621,0.603241
55.3,30.1891,0.603782,30.2225,0.604449
55.4,30.2495,0.604989,30.283,0.605659
55.5,30.31,0.606199,30.3436,0.606872
55.6,30.3706,0.607412,30.4043,0.608087
55.7,30.4313,0.608627,30.4652,0.609304
55.8,30.4922,0.609844,30.5262,0.610524
55.9,30.5532,0.611063,30.5873,0.611746
56,30.6143,0.612286,30.6485,0.612971
56.1,30.6755,0.61351,30.7099,0.614198
56.2,30.7369,0.614737,30.7714,0.615428
56.3,30.7983,0.615967,30.833,0.61666
56.4,30.8599,0.617199,30.8947,0.617894
56.5,30.9217,0.618433,30.9566,0.619131
56.6,30.9835,0.61967,31.0185,0.620371
56.7,31.0455,0.620909,31.0806,0.621613
56.8,31.1076,0.622151,31.1429,0.622857
56.9,31.1698,0.623395,31.2052,0.624104
57,31.2321,0.624642,31.2677,0.625354
57.1,31.2946,0.625891,31.3303,0.626606
57.2,31.3572,0.627143,31.393,0.62786
57.3,31.4199,0.628397,31.4559,0.629117
57.4,31.4827,0.629654,31.5188,0.630377
57.5,31.5457,0.630914,31.5819,0.631639
57.6,31.6088,0.632175,31.6452,0.632903
57.7,31.672,0.63344,31.7085,0.63417
57.8,31.7353,0.634707,31.772,0.63544
57.9,31.7988,0.635976,31.8356,0.636712
58,31.8624,0.637248,31.8993,0.637987
58.1,31.9261,0.638522,31.9632,0.639264
58.2,31.99,0.6398,32.0272,0.640544
58.3,32.054,0.641079,32.0913,0.641826
58.4,32.1181,0.642361,32.1556,0.643111
58.5,32.1823,0.643646,32.2199,0.644399
58.6,32.2467,0.644933,32.2844,0.645689
