Time,Population
131.5,32.6975
131.6,32.656
131.7,32.6146
131.8,32.5735
131.9,32.5325
132,32.4918
132.1,32.4512
132.2,32.4108
132.3,32.3705
132.4,32.3305
132.5,32.2906
132.6,32.2509
132.7,32.2114
132.8,32.1721
132.9,32.1329
133,32.094
133.1,32.0551
133.2,32.0165
133.3,31.978
133.4,31.9397
133.5,31.9016
133.6,31.8636
133.7,31.8258
133.8,31.7882
133.9,31.7507
134,31.7134
134.1,31.6762
134.2,31.6393
134.3,31.6024
134.4,31.5658
134.5,31.5293
134.6,31.4929
134.7,31.4567
134.8,31.4207
134.9,31.3848
135,31.3491
135.1,31.3135
135.2,31.2781
135.3,31.2428
135.4,31.2077
135.5,31.1727
135.6,31.1379
135.7,31.1032
135.8,31.0686
135.9,31.0342
136,31
136.1,30.9659
136.2,30.9319
136.3,30.8981
136.4,30.8645
136.5,30.8309
136.6,30.7975
136.7,30.7643
136.8,30.7312
136.9,30.6982
137,30.6653
137.1,30.6326
137.2,30.6001
137.3,30.5676
137.4,30.5353
137.5,30.5032
137.6,30.4711
137.7,30.4392
137.8,30.4074
137.9,30.3758
138,30.3443
138.1,30.3129
138.2,30.2816
138.3,30.2505
138.4,30.2195
138.5,30.1886
138.6,30.1578
138.7,30.1272
138.8,30.0967
138.9,30.0663
139,30.036
139.1,30.0059
139.2,29.9759
139.3,29.946
139.4,29.9162
139.5,29.8865
139.6,29.857
139.7,29.8275
139.8,29.7982
139.9,29.769
140,29.74
140.1,29.711
140.2,29.6821
140.3,29.6534
140.4,29.6248
140.5,29.5963
140.6,29.5679
140.7,29.5396
140.8,29.5114
140.9,29.4833
141,29.4554
141.1,29.4275
141.2,29.3998
141.3,29.3721
141.4,29.3446
141.5,29.3172
141.6,29.2899
141.7,29.2627
141.8,29.2355
141.9,29.2085
142,29.1817
142.1,29.1549
142.2,29.1282
142.3,29.1016
142.4,29.0751
142.5,29.0487
142.6,29.0224
142.7,28.9962
142.8,28.9701
142.9,28.9442
143,28.9183
143.1,28.8925
143.2,28.8668
143.3,28.8412
143.4,28.8157
143.5,28.7903
143.6,28.765
143.7,28.7398
143.8,28.7147
143.9,28.6896
144,28.6647
144.1,28.6399
144.2,28.6151
144.3,28.5905
144.4,28.5659
144.5,28.5414
144.6,28.5171
144.7,28.4928
144.8,28.4686
144.9,28.4445
145,28.4204
145.1,28.3965
145.2,28.3727
145.3,28.3489
145.4,28.3252
145.5,28.3017
145.6,28.2782
145.7,28.2548
145.8,28.2314
145.9,28.2082
146,28.185
146.1,28.162
146.2,28.139
146.3,28.1161
146.4,28.0933
146.5,28.0705
146.6,28.0479
146.7,28.0253
146.8,28.0028
146.9,27.9804
147,27.9581
147.1,27.9358
147.2,27.9137
147.3,27.8916
147.4,27.8696
147.5,27.8476
147.6,27.8258
147.7,27.804
147.8,27.7823
147.9,27.7607
148,27.7391
148.1,27.7177
148.2,27.6963
148.3,27.675
148.4,27.6537
148.5,27.6325
148.6,27.6115
148.7,27.5904
148.8,27.5695
148.9,27.5486
149,27.5278
149.1,27.5071
149.2,27.4865
149.3,27.4659
149.4,27.4454
149.5,27.4249
149.6,27.4046
149.7,27.3843
149.8,27.3641
149.9,27.3439
150,27.3238
150.1,27.3038
150.2,27.2839
150.3,27.264
150.4,27.2442
150.5,27.2245
150.6,27.2048
150.7,27.1852
150.8,27.1657
150.9,27.1462
151,27.1268
151.1,27.1075
151.2,27.0882
151.3,27.069
151.4,27.0499
151.5,27.0308
151.6,27.0118
151.7,26.9929
151.8,26.974
151.9,26.9552
152,26.9364
152.1,26.9177
152.2,26.8991
152.3,26.8806
152.4,26.8621
152.5,26.8436
152.6,26.8253
152.7,26.8069
152.8,26.7887
152.9,26.7705
153,26.7524
153.1,26.7343
153.2,26.7163
153.3,26.6984
153.4,26.6805
153.5,26.6627
153.6,26.6449
153.7,26.6272
153.8,26.6096
153.9,26.592
154,26.5744
154.1,26.557
154.2,26.5396
154.3,26.5222
154.4,26.5049
154.5,26.4877
154.6,26.4705
154.7,26.4533
154.8,26.4363
154.9,26.4193
155,26.4023
155.1,26.3854
155.2,26.3685
155.3,26.3518
155.4,26.335
155.5,26.3183
155.6,26.3017
155.7,26.2851
155.8,26.2686
155.9,26.2521
156,26.2357
156.1,26.2194
156.2,26.2031
156.3,26.1868
156.4,26.1706
156.5,26.1545
156.6,26.1384
156.7,26.1223
156.8,26.1063
156.9,26.0904
157,26.0745
157.1,26.0587
157.2,26.0429
157.3,26.0271
157.4,26.0114
157.5,25.9958
157.6,25.9802
157.7,25.9647
157.8,25.9492
157.9,25.9338
158,25.9184
158.1,25.903
158.2,25.8877
158.3,25.8725
158.4,25.8573
158.5,25.8422
158.6,25.8271
158.7,25.812
158.8,25.797
158.9,25.7821
159,25.7671
159.1,25.7523
159.2,25.7375
159.3,25.7227
159.4,25.708
159.5,25.6933
159.6,25.6787
159.7,25.6641
159.8,25.6496
159.9,25.6351
160,25.6206
160.1,25.6062
160.2,25.5919
160.3,25.5776
